"","player_name","teamName","runs","balls_faced","4s","6s","strike_rate","innings_number","opposition","match_format","venue","date","city","batting_position"
"198","SR Tendulkar",NA,"146","153","15","2","95.42","1","Zimbabwe","ODI","Jodhpur","2000-12-08","",""
"199","SR Tendulkar",NA,"146","132","17","0","110.60","1","Kenya","ODI","Paarl","2001-10-24","",""
"200","R Dravid",NA,"146","234","16","0","62.39","1","West Indies","Test","Gros Islet","2006-06-10","",""
"201","V Sehwag",NA,"146","102","17","6","143.13","1","Sri Lanka","ODI","Rajkot","2009-12-15","",""
"202","SR Tendulkar",NA,"146","314","17","2","46.49","2","South Africa","Test","Cape Town","2011-01-02","",""
"203","M Vijay",NA,"146","361","25","1","40.44","1","England","Test","Nottingham","2014-07-09","",""
"204","CA Pujara",NA,"145","289","14","0","50.17","1","Sri Lanka","Test","Colombo (SSC)","2015-08-28","",""
"205","VS Hazare",NA,"145","372","17","0","38.97","3","Australia","Test","Adelaide","1948-01-23","",""
"206","GR Viswanath",NA,"145","-","16","0","-","2","Pakistan","Test","Faisalabad","1978-10-16","",""
"207","R Dravid",NA,"145","129","17","1","112.40","1","Sri Lanka","ODI","Taunton","1999-05-26","",""
"208","R Dravid",NA,"144","345","23","0","41.73","2","West Indies","Test","Georgetown","2002-04-11","",""
"209","R Dravid",NA,"144","327","18","0","44.03","3","New Zealand","Test","Mohali","1999-10-10","",""
"210","SC Ganguly",NA,"144","152","8","6","94.73","1","Zimbabwe","ODI","Ahmedabad","2000-12-05","",""
"211","SC Ganguly",NA,"144","196","18","0","73.46","2","Australia","Test","Brisbane","2003-12-04","",""
"212","R Dravid",NA,"144","226","15","1","63.71","1","Sri Lanka","Test","Kanpur","2009-11-24","",""
"213","MS Dhoni",NA,"144","175","10","5","82.28","1","West Indies","Test","Kolkata","2011-11-14","",""
"214","M Vijay",NA,"144","213","22","0","67.60","1","Australia","Test","Brisbane","2014-12-17","",""
"215","VVS Laxman",NA,"143","260","16","0","55.00","2","South Africa","Test","Kolkata","2010-02-14","",""
"216","AL Wadekar",NA,"143","-","12","0","-","2","New Zealand","Test","Wellington","1968-02-29","",""
"217","SR Tendulkar",NA,"143","247","20","0","57.89","1","Sri Lanka","Test","Colombo (RPS)","1997-08-02","",""
"218","SR Tendulkar",NA,"143","131","9","5","109.16","2","Australia","ODI","Sharjah","1998-04-22","",""
"219","S Ramesh",NA,"143","214","18","0","66.82","1","Sri Lanka","Test","Colombo (SSC)","1999-02-24","",""
